City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Expt,Run,Speed
Mesa;1/25/2011;1,02E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Later Stage;BC;;1;1;10.56;11/01/1985;115.48;116.78;115.48;116.28;900900;0,,,,,,,,,,,,1,1,850
Scottsdale;02/09/2011;67061753842;Titulo de solar;Certificado de Dominio Pleno;Certificado Parcelario;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Second Round;SON;;1;1;4.5;11/04/1985;116.28;117.07;115.82;116.04;753400;0;11/05/1985;116.04;116.57;115.88;116.44;876800;0,,,,,,,,,,,,,1,2,740
Sacramento,01/03/2011,6.12E+11,Certificado Parcelario: Other,Certificado de Dominio Pleno,Certificado Parcelario,"Sacramento--Arden-Arcade--Roseville, COAH",Northern California,Product In Beta Test,First Round,COAH,,1,1,1,3,900
Kennett Square,01/03/2011,1.11E+11,IT, Consulting,Certificado de Dominio Pleno,Certificado Parcelario,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,4,1070
New York,01/03/2011,6.05E+11,Incubators/Business Development,Certificado de Dominio Pleno,Certificado Parcelario,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,CHIS,New York Metro,1,1,1,5,930
Cambridge,01/03/2011,6.11E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,VER,Boston Metro,1,1,1,6,850
Charlotte,01/05/2011,6.11E+11,Automobiles,Consumer Goods,Vehicles and Parts,"Charlotte-Gastonia-Concord, NC-SC",South East,Generating Revenue,Later Stage,NC,,1,1,1,7,950
Brooklyn,01/05/2011,6.15E+11,General Media/Content,Otro documento agrario,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,First Round,CHIS,New York Metro,1,1,1,8,980
Highland Heights,01/05/2011,3.57E+11,Biofuels/Biomass,Certificado de Comunidad,Renewable Energy,"Cleveland-Elyria-Mentor, OH",Midwest East,Product Development,First Round,OH,,1,1,1,9,980
Marlborough,01/05/2011,98499752679,Biofuels/Biomass,Certificado de Comunidad,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,VER,Boston Metro,1,1,1,10,880
Warren,01/05/2011,62881753025,Fiberoptic Equipment,Certificado de Ejido,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,GRO,New York Metro,1,1,1,11,1000
New York,01/07/2011,6.14E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,CHIS,New York Metro,1,1,1,12,980
Richardson,01/07/2011,6.13E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,First Round,TX,Dallas-Fort Worth,1,1,1,13,930
Lyndhurst,01/07/2011,1.82E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,GRO,New York Metro,1,1,1,14,650
Eden Prairie,01/07/2011,62097752675,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Later Stage,MN,,1,1,1,15,760
New York,01/07/2011,6.06E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 1,Second Round,CHIS,New York Metro,1,1,1,16,810
Portland,01/07/2011,88644753258,Wired Communications Equipment,Certificado de Ejido,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,OR,,1,1,1,17,1000
San Francisco,01/10/2011,6.15E+11,Entertainment,Otro documento agrario,Consumer Information Services,"San Francisco-Oakland-Fremont, COAH",Northern California,Generating Revenue,Seed Round,COAH,San Francisco Bay Area,1,1,1,18,1000
Cambridge,01/10/2011,1.13E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Corporate,VER,Boston Metro,1,1,1,19,960
Cupertino,01/10/2011,86430752808,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,1,20,960
Austin,01/10/2011,60094757877,Computer Systems,Certificado de Ejido,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,TX,Austin Metro,1,1,2,1,960
Palo Alto,01/10/2011,6.13E+11,Recreational/Home Software,Certificado de Ejido,Software,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Second Round,COAH,San Francisco Bay Area,1,1,2,2,940
Denver,01/11/2011,76524753029,Certificado Parcelario: Other,Certificado de Dominio Pleno,Certificado Parcelario,"Denver-Aurora-Broomfield, BCS",Mountain,Generating Revenue,Later Stage,BCS,,1,1,2,3,960
Mountain View,01/11/2011,91354753388,Lending,Certificado de Dominio Pleno,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, COAH",Northern California,Generating Revenue,Later Stage,COAH,San Francisco Bay Area,1,1,2,4,940
Culver City,01/11/2011,63662753558,Search Portals,Otro documento agrario,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, COAH",Southern California,Generating Revenue,Second Round,COAH,Los Angeles Metro,1,1,2,5,880
San Diego,01/11/2011,6.05E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, COAH",Southern California,Startup,Second Round,COAH,San Diego Metro,1,1,2,6,800
