City;CloseDate;EntityIDRoundID;IndustryCode;Industry Group;Industry Segment;Metropolitan Statistical Area;PrimaryRegion;RoundBusStat;RoundClassDescr;State;Subregion;Deals;Number of Deals;Raised
Mesa;1/25/2011;1,02E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;10.56
Scottsdale;02/09/2011;67061753842;Data Management Services;Business and Financial Services;Business Support Services;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Second Round;SON;;1;1;4.5
Tucson;2/18/2011;74697754475;Drug Development Technologies;Healthcare;Biopharmaceuticals;Tucson, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;16.2
Maricopa;3/16/2011;1,06E+16;Materials and Chemicals: Other;Industrial Goods and Materials;Materials and Chemicals;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;15
Tucson;04/08/2011;87014761729;Fiberoptic Equipment;Information Technology;Communications and Networking;Tucson, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;
Gilbert;04/11/2011;6,13E+16;Building Materials/Construction Machinery;Industrial Goods and Materials;Machinery and Industrial Goods;Phoenix-Mesa-Scottsdale, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;8
Flagstaff;05/06/2011;97125758815;Wind/Water and Geothermal Energy;Energy and Utilities;Renewable Energy;Flagstaff, SON;Mountain;Generating Revenue;Later Stage;SON;;1;1;13.4
Phoenix;5/16/2011;3,54E+16;Industrial Cleaning Products;Industrial Goods and Materials;Materials and Chemicals;Phoenix-Mesa-Scottsdale, SON;Mountain;Product Development;Second Round;SON;;1;1;0.1
Scottsdale;06/06/2011;92846760017;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;Phoenix-Mesa-Scottsdale, SON;Mountain;Profitable;Later Stage;SON;;1;1;5.2
Phoenix;6/24/2011;57267761383;Sports/Recreational Services;Consumer Services;Travel and Leisure;Phoenix-Mesa-Scottsdale, SON;Mountain;Profitable;Later Stage;SON;;1;1;6.32
Mountain View;01/01/2011;6,13E+16;Database Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;2
Mountain View;01/02/2011;6,13E+16;Online Communities;Consumer Services;Consumer Information Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;Seed Round;COAH;San Francisco Bay Area;1;1;0.41
San Francisco;01/10/2011;6,15E+16;Entertainment;Consumer Services;Consumer Information Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Seed Round;COAH;San Francisco Bay Area;1;1;0.65
Cupertino;01/10/2011;86430752808;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;45
Palo Alto;01/10/2011;6,13E+16;Recreational/Home Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Second Round;COAH;San Francisco Bay Area;1;1;1.45
Mountain View;01/11/2011;91354753388;Lending;Business and Financial Services;Financial Institutions and Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;20
Culver City;01/11/2011;63662753558;Search Portals;Consumer Services;Consumer Information Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Generating Revenue;Second Round;COAH;Los Angeles Metro;1;1;0.2
San Diego;01/11/2011;6,05E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Startup;Second Round;COAH;San Diego Metro;1;1;14.13
San Francisco;01/11/2011;63251753390;Commercial Fishing/Aquaculture;Industrial Goods and Materials;Agriculture and Forestry;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;1.2
Beverly Hills;01/11/2011;1,11E+15;Consumer Electronics;Information Technology;Electronics and Computer Hardware;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Product Development;Second Round;COAH;Los Angeles Metro;1;1;3.5
Mountain View;01/11/2011;6,12E+16;Communications Software;Information Technology;Software;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Seed Round;COAH;San Francisco Bay Area;1;1;
San Francisco;01/12/2011;6,13E+16;To Be Assigned;To Be Assigned;To Be Assigned;San Francisco-Oakland-Fremont, COAH;Northern California;Startup;Seed Round;COAH;San Francisco Bay Area;1;1;
San Francisco;1/13/2011;6,09E+16;Travel Arrangement/Tourism;Consumer Services;Travel and Leisure;San Francisco-Oakland-Fremont, COAH;Northern California;Profitable;Second Round;COAH;San Francisco Bay Area;1;1;4.2
San Diego;1/13/2011;6,12E+16;Biotechnology Therapeutics;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;First Round;COAH;San Diego Metro;1;1;3
San Francisco;1/14/2011;68953753511;Procurement/Supply Chain;Business and Financial Services;Business Support Services;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;4.25
San Francisco;1/14/2011;1,10E+16;Multimedia/Streaming Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;5.02
Emeryville;1/15/2011;6,12E+16;Specialty Foods;Consumer Goods;Food and Beverage;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;16.03
Los Angeles;1/15/2011;6,13E+16;General Media/Content;Consumer Services;Media and Content;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Startup;First Round;COAH;Los Angeles Metro;1;1;5
Ventura;1/17/2011;6,10E+16;Customer Relationship Management;Business and Financial Services;Business Support Services;Los Angeles-Long Beach-Santa Ana, COAH;Southern California;Product Development;First Round;COAH;Los Angeles Metro;1;1;1.25
San Diego;1/18/2011;1,14E+16;Pharmaceuticals;Healthcare;Biopharmaceuticals;San Diego-Carlsbad-San Marcos, COAH;Southern California;Clinical Trials - Phase 2;Later Stage;COAH;San Diego Metro;1;1;2
San Diego;1/18/2011;3,56E+15;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Diego-Carlsbad-San Marcos, COAH;Southern California;Product Development;Later Stage;COAH;San Diego Metro;1;1;1.85
Palo Alto;1/18/2011;6,06E+16;Therapeutic Devices (Minimally Invasive/Noninvasive);Healthcare;Medical Devices and Equipment;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Second Round;COAH;San Francisco Bay Area;1;1;10.96
Alameda;1/18/2011;6,04E+16;Multimedia/Streaming Software;Information Technology;Software;San Francisco-Oakland-Fremont, COAH;Northern California;Generating Revenue;First Round;COAH;San Francisco Bay Area;1;1;5.25
Sunnyvale;1/18/2011;6,13E+16;Electronic Components/Devices;Information Technology;Electronics and Computer Hardware;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Generating Revenue;Later Stage;COAH;San Francisco Bay Area;1;1;22
Sunnyvale;1/19/2011;59679753267;Fuel Cells;Energy and Utilities;Renewable Energy;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Product Development;Later Stage;COAH;San Francisco Bay Area;1;1;100
Palo Alto;1/20/2011;6,12E+16;General Business Consulting;Business and Financial Services;Business Support Services;San Jose-Sunnyvale-Santa Clara, COAH;Northern California;Startup;Seed Round;COAH;San Francisco Bay Area;1;1;0.6
